symbol,price,trailingPE,forwardPE,pegRatio,priceToSales,priceToBook,enterpriseToEbitda,enterpriseToRevenue,priceToCash,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,totalCashPerShare,bookValue,totalDebt,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,trailingEps,forwardEps,epsCurrentYear,dividendRate,dividendYield,payoutRatio,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,sharesOutstanding,floatShares,beta,rsi_14,sma20_dist,sma50_dist,sma200_dist,avgVolume,fiftyTwoWeekHigh,fiftyTwoWeekLow,perf_week,perf_month,perf_quarter,perf_half_y,perf_ytd,perf_3y,perf_5y,perf_10y,fullTimeEmployees,recommendationMean,target_52WeekChange
TGOPF,41.91,4.811711,,,6.245491,1.0911064,6.522,6.374,101.23188405797102,0.94819,1.0,0.9784,0.15269,0.25048,0.414,38.410553,1255000064.0,4.446,6.148,5.062,0.721,0.606,8.71,,,1.06,2.54,0.1125,0.02024,0.69748,,,986522351.0,961174526.0,1.062,39.63353619859109,-0.03860712070081257,-0.07272196261682257,-0.20787775121199809,1527.0,60.68,39.35,-0.04641639880606495,0.0033516768183396895,-0.2846902220369963,-0.24892472091353118,-0.05565572349410797,1.5185222209805116,1.9476096006370391,7.996512042961355,223.0,,-0.09618288
COE,28.605,,-143.025,,2.0637846,-7.105067,-1175.815,128.338,277.71844660194176,-0.13113,0.75277,-0.15786,-0.10875,,0.103,-4.026,3307000.0,,0.684,0.423,0.875,,-1.8,-0.2,,,,0.0,0.36907002,0.15437001,0.24,0.0018000001,4132692.0,118761651.0,0.284,35.4841131225956,-0.07317704876102334,-0.2363365511938832,-0.1320568059945336,10579.0,56.13,13.6,0.021607142857142873,-0.20541666666666666,-0.3898250992264741,-0.017685467870575643,-0.08493282819712904,3.743780929471833,-0.724951923076923,-0.6232218033469246,360.0,,0.46650004
AKA,11.8,,-6.9547997,,0.21495761,1.1473019,27.509,0.514,5.4103622191655205,-0.04417,0.57439,-0.00823,-0.010299999,-0.21285999,2.181,10.285,210764000.0,191.421,1.347,0.294,-0.019,,-2.46,-1.69667,-2.39667,,,0.0,0.37402,0.56727004,1.14,0.0038,10739676.0,772075.0,1.64,52.762670648677144,0.04912203245443387,-0.010528646034232364,0.04026348639899577,13535.0,18.405,7.0,0.025195461802900193,0.06306302652915663,-0.08242610303079331,0.07468128341985894,0.11215837717523822,-0.3444444444444444,-0.9015682326463887,-0.9015682326463887,1350.0,2.2,-0.34982353
ATEN,17.58,25.47826,18.611643,,4.4599724,6.110532,17.228,3.889,3.4003868471953576,0.17782,0.79662,0.17399,0.061750002,0.23884001,5.17,2.877,228832000.0,110.969,3.641,3.359,0.119,-0.003,0.69,0.94457,0.87914,0.24,1.38,0.3478,0.01342,0.99955004,8.13,0.101,71726487.0,70568104.0,1.221,49.27572764690281,-0.007816675100473859,0.0017664824206506814,-0.002114404915636676,643595.0,21.9,13.81,0.015011565228461067,-0.02495843979522512,0.022638672255962493,-0.04055841539139927,0.013256461871661835,0.17448193298903705,0.9006545877168036,2.242293002234467,481.0,,-0.07051283
AAM,10.68,,,,,1.3217822,,,628.235294117647,0.0,0.0,0.0,,,0.017,8.08,1000000.0,0.281,0.601,0.491,,0.104,,,,,,,0.26801002,1.0693699,0.0,,35349000.0,31941394.0,,58.152772301563346,0.0025297925478046214,0.004919211270150103,0.019194349769750724,50012.0,10.79,10.12,-0.0018691410861352684,0.0028169373281035294,0.014245039965113424,0.02347863637098923,0.0037593661077603277,0.07014032964642951,0.07014032964642951,0.07014032964642951,,,0.055336
AAM-UN,10.6,,,,,1.3118813,,,623.5294117647059,0.0,0.0,0.0,,,0.017,8.08,1000000.0,0.281,0.601,0.491,,0.104,,,,,,,0.0,0.0,4.81,,,31941394.0,,98.63211773445202,-0.002822212052487468,-0.0015109212097920012,0.007648336054142191,9.0,11.27,10.15,-0.002822212052487468,-0.002822212052487468,0.00046243989973504643,0.007604518893085103,-0.002822212052487468,0.06106108537113202,0.06106108537113202,0.06106108537113202,,,0.04686773
YCY,10.02,,,,,-233.02325,,,,0.0,0.0,0.0,,,,-0.043,,,,,,,,,,,,,,,,,11860250.0,,,73.19837987156245,0.0051108345967931425,0.00583222076109975,0.006014601870223292,66549.0,10.04,9.9,0.004008062084009686,0.007035195183589934,0.009063413097510992,0.009063413097510992,0.005822134855791418,0.009063413097510992,0.009063413097510992,0.009063413097510992,,,0.005035281
YCY-UN,10.11,,,,,-235.11626,,,,0.0,0.0,0.0,,,,-0.043,,,,,,,,,,,,,0.02816,0.0,0.01,,,,,61.6777286723486,0.0013123155699118092,0.0009504574076273159,0.004390208477033456,10543.0,10.3,9.94,0.0024789253107053324,-0.0009881309952732428,0.010999999999999944,0.01506023707615706,0.0024789253107053324,0.01506023707615706,0.01506023707615706,0.01506023707615706,,,0.012550235
ACMR,52.195,30.34593,25.09375,,3.8464546,2.3635828,20.144,3.289,2.9971289118575943,0.13303,0.46683,0.10746,0.0357,0.09937,17.415,22.083,297044000.0,15.757,3.479,2.445,0.32,0.137,1.72,2.08,1.8325,,,0.0,0.15001,0.75667,3.45,0.0734,59854640.0,53114350.0,1.449,73.50938300769207,0.17276979837888523,0.37621814883563953,0.6989605889643241,1310129.0,54.825,16.805,0.06108968199196844,0.4053581275649577,0.31539817536724635,0.7283112146159996,0.1629901684000108,3.873482709065489,0.6552325848381024,26.9616016667499,2023.0,1.5,1.8557692
ACR,20.59,21.904255,24.034925,,1.7189924,0.33539665,,15.006,3.5005100306018364,0.32154,0.35638002,0.20313999,0.01674,0.070250005,5.882,61.39,1233657984.0,283.925,75.879,70.316,0.104,2.722,0.94,0.85667,-0.00667,,,0.0,0.18067,0.50856996,3.88,0.0382,7285680.0,6276551.0,1.195,41.6634644407744,-0.03881613906593213,-0.05348999705795817,0.03674164035789999,36541.0,24.61,15.64,0.0024342299047737134,-0.12938687813477592,0.014785562884971366,0.16525183424438825,-0.0009704323027296347,1.059,0.7115544852065133,-0.05441008513391746,,,0.14067793
ACR-PC,25.02,49.34911,,,,0.40755823,,15.388,4.253655219313159,0.32154,0.35638002,0.20313999,0.01674,0.070250005,5.882,61.39,1233657984.0,283.925,75.879,70.316,0.104,2.722,0.507,,,2.53,10.07,,0.0012899999,0.24603,0.32,0.0005,,6276551.0,1.195,69.14900812264693,0.011664537869526335,-0.003760941806658386,0.0011856567149666425,8818.0,25.61,22.61,0.008058030122276247,0.01952341307122812,0.03600055979172713,0.06416296766937371,0.009685202046173982,0.5853212222590087,0.9015023083338546,3.3887656083565196,,,0.01497364
ACR-PD,21.92,43.23471,,,,0.35706142,,15.146,3.7266235974158453,0.32154,0.35638002,0.20313999,0.01674,0.070250005,5.882,61.39,1233657984.0,283.925,75.879,70.316,0.104,2.722,0.507,,,1.97,8.96,,0.00032000002,0.29726,0.53,0.0008,,6276551.0,1.195,56.655944397626364,0.004616502555631055,-0.007971438266723268,0.006558056358434745,4211.0,22.68,18.12,0.0025888240467924705,0.010271145499476017,0.02504870063554065,0.036354580581117936,0.0013705167285546474,0.4078541487493074,0.3437749008456186,0.3437749008456186,,,-0.013022006
AGNC,11.68,17.432837,7.371876,,13.106086,1.3221644,,69.751,0.56967273081988,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,0.67,1.5844,1.5311,1.44,12.45,2.1492999,0.00332,0.40335998,4.06,0.0615,1072724070.0,1065665546.0,1.348,81.3002469331892,0.06633347887487843,0.10620726232644474,0.20177591200695552,20611070.0,11.72,7.85,0.043789136549718666,0.14336795822197101,0.21893658017688628,0.3523614136174852,0.06861845140745919,0.6278079898158394,0.44844676340349576,1.4246821310825335,53.0,2.28571,0.21151829
AGNCL,24.86,,,,,2.8141274,,84.452,1.212505487001902,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,,,,1.94,7.85,,,,0.69,,,1065665546.0,1.348,65.51494641704227,0.010764448543055378,0.006230859959054524,-1.4078821691301455e-06,15175.0,26.59,22.84,0.0052567917577856695,0.018096023381105563,0.038575594867378354,0.03348340085491655,0.006477701705200491,0.38035622295097243,0.3923379726439947,0.3923379726439947,53.0,,0.019462824
AGNCM,24.8466,,,,9.239374,2.8126104,,84.63,1.211851924108667,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,-1.86,,,2.23,8.97,,0.0,0.23431998,0.58,,477832000.0,1065665546.0,1.348,71.24751034643924,0.009498515059447552,0.00680425371211097,0.00310702941181219,15196.0,25.49,23.01,0.00756691621015852,0.01822465509553002,0.023972729389351986,0.03733484500545706,0.00552816352037747,0.5085424821587758,0.5171311993358839,0.7200219024759593,53.0,,-0.014095664
AGNCN,25.5,,,,9.161089,2.8865747,,85.349,1.243720431156416,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,-1.86,,,2.42,9.52,,0.0,0.000120000004,0.23,,477832000.0,1065665546.0,1.348,73.22832844107054,0.008062171096510536,0.00018434770330216568,-0.0022457687003793604,24245.0,26.589,23.633,0.0015711279248136027,0.021407599293979427,0.022207691599563633,0.05284261372616606,0.0059171446261562875,0.3765403567998819,0.5677373145417643,1.0440698311143946,53.0,,-0.009720087
AGNCO,25.3,,,,,2.8639348,,85.113,1.2339657611081305,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,-1.86,,,2.4,9.48,,0.0,0.00195,0.43,,,1065665546.0,1.348,78.99531433900168,0.008884897003086723,0.00023958307800214237,-0.0007380319815964727,21245.0,25.95,23.68,0.00436679093331741,0.02050281462727589,0.02820319011906925,0.04129271310234819,0.00676485654240719,0.5007816925829776,0.5018384391778868,0.6281716391345868,53.0,,-0.0019754767
AGNCP,24.94,,,,,2.8231833,,84.698,1.2164073550212164,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,-1.86,,,2.12,8.52,,,,0.55,,,1065665546.0,1.348,78.81877903611509,0.01123231770284094,0.0005584512285927982,-0.0017536954125578095,35493.0,25.57,23.37,0.006456792127561185,0.020150452527079313,0.027132165587708975,0.034647422078066516,0.01094446383749735,0.5169963808784622,0.48015418085562434,0.503310224101793,53.0,,0.0097362995
AGNCZ,25.74,,,,,2.9137425,,85.539,1.2554260352143587,0.87657,1.0,0.96411,0.00844,0.07943,20.503,8.834,74296999936.0,649.222,0.259,0.244,1.223,0.857,,,,0.76,2.96,,,,0.16,,,1065665546.0,1.348,89.76188556923267,0.016616193581971368,0.004374139121816383,0.008905175612998058,89474.0,25.94,25.0,0.005076118178454481,0.029854650796755332,0.046517685922008965,0.054423832938902815,0.01394470672429429,0.054423832938902815,0.054423832938902815,0.054423832938902815,53.0,,0.01948309
AIIA-UN,10.24,,,,,5119.9995,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,56.538915693542286,0.004491262206602892,0.006666610303822626,0.008642907413180615,52269.0,10.37,10.0,-0.004665640193738247,0.006882981630376114,0.0138613478458009,0.02195604113629245,0.005893879472057926,0.02195604113629245,0.02195604113629245,0.02195604113629245,,,
AIBRF,10.55,10.144232,14.066667,,4.9038258,1.349708,,-1.544,0.4967978903748352,0.47248,0.0,0.54541,0.01543,0.15167,21.236,7.816506,14807000064.0,,,,-0.106,-0.071,1.04,0.75,,0.28,2.59,0.4132,0.00013,0.70055,,,2136766718.0,2074522030.0,0.751,50.05569135551706,-0.013202495202002031,0.03918771965768865,0.24762891377051208,4154.0,11.04,5.596,-0.02943881222889476,0.011020563081829342,0.19750278064788157,0.35459507777381866,-0.028097609866272914,1.0577162101596245,1.0577162101596245,1.0577162101596245,10375.0,,0.9485816
AIRO,13.2,,-25.63107,,5.01725,0.5587301,-53.445,4.193,4.949381327334083,-0.058509998,0.63782,-1.9065,-0.01584,-0.00741,2.667,23.625,14678471.0,1.985,3.324,2.655,-0.735,,-0.15,-0.515,-0.105,,,0.0,0.34702,0.25481,1.52,0.0429,31303834.0,17173909.0,,70.92246497859568,0.3110846392074923,0.29964751983931637,-0.25195138681412443,787403.0,39.07,7.28,0.10460252809089636,0.7165149417139436,-0.2978723119318663,-0.49790796727573167,0.4285714639582315,-0.45,-0.45,-0.45,151.0,,-0.44875002
AOSL,22.49,,99.21913,,0.9703003,0.81033367,27.8,1.153,3.3402643695232435,-0.13864,0.22865999,0.12612,-0.01883,-0.111719996,6.733,27.754,201560992.0,39.038,3.293,1.986,0.449,,-3.28,0.22667,-0.15,,,0.0,0.16567,0.74402,5.64,0.0848,30061450.0,25006317.0,1.961,61.09142938036748,0.06922127458360922,0.08161400471312458,-0.07398066847149178,344167.0,46.65,15.9,0.0241348332251112,0.11502230614430083,-0.2742820211002368,-0.20191626130432327,0.08857696834964482,-0.2844416232380238,-0.20726121484994242,1.642773136911543,2428.0,,-0.42573738
ACIC,11.25,6.50289,7.6271186,2.428,1.6709042,1.5169903,3.823,1.459,2.5820518705531326,0.25955,0.49560001,-0.1003,0.06369,0.29345,4.357,7.416,159190000.0,46.73,1.075,0.462,-0.235,,1.73,1.475,1.975,,,0.0,0.48719,0.34525,3.98,0.045900002,48765302.0,22188723.0,-0.567,44.562020314077685,-0.03295121144308606,-0.06611103732235359,-0.00705213638249237,148135.0,13.5,9.97,-0.03846152278641795,-0.06633670552313449,0.026629043699494686,0.09726858583498407,-0.011423560029314172,8.339590879068265,1.314649194614912,0.046097539216863444,65.0,2.5,-0.066170394
